"Banco","TO","FROM","NET"
"SANB11",85.76,50.81,34.95
"ITUB4",80.15,61.27,18.87
"ABCB4",60.12,51.83,8.3
"BBDC4",46.17,58.53,-12.35
"BPAC11",41.24,50.46,-9.22
"BBAS3",36.38,51.16,-14.78
"BRSR6",31.33,48.18,-16.85
"BPAN4",21.66,30.57,-8.91
