"Lags","AIC","BIC","HQ"
1,-13.5661,-13.3397,-13.4824
2,-13.6687,-13.241,-13.5105
3,-13.7027,-13.0737,-13.4701
4,-13.7081,-12.8779,-13.4011
5,-13.702,-12.6705,-13.3205
6,-13.6958,-12.463,-13.2399
