"data","TCI"
2019-01-03,50.1309160176728
2019-01-04,50.0979318018394
2019-01-07,50.0340927038159
2019-01-08,50.525738401016
2019-01-09,50.7693958868957
2019-01-10,50.7271169796884
2019-01-11,50.522375178853
2019-01-14,50.266380195428
2019-01-15,50.0202911528622
2019-01-16,49.6879937957055
2019-01-17,49.5965543572829
2019-01-18,49.3704191862469
2019-01-21,48.778230643562
2019-01-22,48.6336496838587
2019-01-23,47.9613919598253
2019-01-24,47.0279618544015
2019-01-28,47.4247233128536
2019-01-29,47.4197411559702
2019-01-30,47.2979771485583
2019-01-31,46.6286570301542
2019-02-01,47.1451881811008
2019-02-04,47.0323413717216
2019-02-05,46.4242689348213
2019-02-06,46.2390140944137
2019-02-07,47.3867805523114
2019-02-08,47.3969416617187
2019-02-11,47.5212562058421
2019-02-12,47.5387294207641
2019-02-13,46.8568735446601
2019-02-14,46.9296266856927
2019-02-15,46.9693689854763
2019-02-18,46.4312317251794
2019-02-19,46.1835536426705
2019-02-20,45.9418602269527
2019-02-21,45.930761790121
2019-02-22,45.8231708500589
2019-02-25,45.6686763706423
2019-02-26,46.090014257971
2019-02-27,45.3423478902639
2019-02-28,45.2158445003997
2019-03-01,45.1777116793992
2019-03-06,45.4768588700955
2019-03-07,45.6540075459221
2019-03-08,46.2651477105221
2019-03-11,45.6258000220673
2019-03-12,45.3660153937186
2019-03-13,45.5545935456163
2019-03-14,45.7486811261078
2019-03-15,45.3047246200369
2019-03-18,45.1915489357677
2019-03-19,46.1857479713211
2019-03-20,46.0735788313009
2019-03-21,48.8807412173095
2019-03-22,48.3494277839605
2019-03-25,48.0063779036014
2019-03-26,47.7997266042323
2019-03-27,47.7328862272207
2019-03-28,48.2435991834957
2019-03-29,48.134706536786
2019-04-01,48.073666727736
2019-04-02,47.8126261941891
2019-04-03,48.4435393665923
2019-04-04,48.2865595122889
2019-04-05,48.3411970584248
2019-04-08,48.9515810939209
2019-04-09,48.2555478166606
2019-04-10,48.0170988869047
2019-04-11,47.6911299501705
2019-04-12,49.741727827409
2019-04-15,49.4830607702494
2019-04-16,49.1886675388581
2019-04-17,49.3886722111983
2019-04-18,48.8891899320748
2019-04-22,48.7458265539022
2019-04-23,48.8153323269
2019-04-24,47.9542408127226
2019-04-25,48.3997378832314
2019-04-26,48.3145190164796
2019-04-29,48.0088107369903
2019-04-30,47.8018997455223
2019-05-02,48.7959586996169
2019-05-03,48.4185846981304
2019-05-06,49.19116413181
2019-05-07,49.5932684544953
2019-05-08,49.3843077783266
2019-05-09,49.3338767872137
2019-05-10,49.2784001574954
2019-05-13,49.0281445748811
2019-05-14,48.6781997088419
2019-05-15,48.529173666427
2019-05-16,48.4838008055682
2019-05-17,48.7756860669564
2019-05-20,48.5277438309531
2019-05-21,48.3650460601463
2019-05-22,48.2469008046336
2019-05-23,48.2733334055022
2019-05-24,48.1193580604151
2019-05-27,48.0929963384535
2019-05-28,47.9240235676694
2019-05-29,47.7472464136273
2019-05-30,48.1755881605888
2019-05-31,48.4054560082275
2019-06-03,48.2991846829722
2019-06-04,48.2089279806561
2019-06-05,47.9971176812898
2019-06-06,48.1636299687559
2019-06-07,48.4523992713826
2019-06-10,48.0014871151745
2019-06-11,47.7882559500688
2019-06-12,47.5413730389144
2019-06-13,47.3210474108527
2019-06-14,47.1873055498773
2019-06-17,47.095947435968
2019-06-18,47.079510160899
2019-06-19,46.9381541908407
2019-06-21,46.501714850356
2019-06-24,46.2168190521856
2019-06-25,46.1534830093954
2019-06-26,46.0993790054054
2019-06-27,46.3041917134394
2019-06-28,46.1909291994284
2019-07-01,46.4094758164407
2019-07-02,46.1116957699075
2019-07-03,45.9972311353932
2019-07-04,45.7322133549926
2019-07-05,45.5288667482173
2019-07-08,46.0407009175954
2019-07-10,46.1417979888666
2019-07-11,46.1445880455928
2019-07-12,45.9874360109418
2019-07-15,45.8891773023172
2019-07-16,45.8698894135281
2019-07-17,45.5332429467622
2019-07-18,44.8521298589582
2019-07-19,44.8028378496724
2019-07-22,44.8112098043061
2019-07-23,44.5039521372714
2019-07-24,43.9134643469045
2019-07-25,43.9043979012524
2019-07-26,43.6722553340136
2019-07-29,43.7320911961837
2019-07-30,43.4193240519057
2019-07-31,42.9626807492631
2019-08-01,45.5145625247893
2019-08-02,45.4151845156143
2019-08-05,45.017588179807
2019-08-06,45.0668767284871
2019-08-07,45.1877259525821
2019-08-08,45.0614024268391
2019-08-09,45.2946611233993
2019-08-12,46.0329533005919
2019-08-13,46.0357847703938
2019-08-14,45.856722467168
2019-08-15,45.7339562789573
2019-08-16,45.8565063936029
2019-08-19,45.9218420542092
2019-08-20,45.8589703719956
2019-08-21,45.7897396284434
2019-08-22,46.3602039442299
2019-08-23,48.20343608754
2019-08-26,47.5866595855516
2019-08-27,47.1209743607677
2019-08-28,47.329528433874
2019-08-29,46.8639610362436
2019-08-30,46.8055008351399
2019-09-02,46.6913538018611
