"Banco","TO","FROM","NET","Eigenvector_in","PageRank"
"ITUB4",84.82,62.17,22.65,1,0.1556
"BBDC4",69.72,59.91,9.81,0.9809,0.1454
"BPAC11",62.05,53.66,8.38,0.8627,0.1366
"SANB11",61.48,55.6,5.88,0.9197,0.1366
"BBAS3",48.17,55.86,-7.68,0.9193,0.1334
"BPAN4",31.8,37.56,-5.76,0.6154,0.0982
"ABCB4",27.14,40.96,-13.83,0.6713,0.1038
"BRSR6",15.87,35.32,-19.46,0.5849,0.0905
