"data","TCI","W"
2019-08-07,33.9125623855421,"W = 150"
2019-08-08,34.1464239688486,"W = 150"
2019-08-09,33.9585457734065,"W = 150"
2019-08-12,34.4976627708575,"W = 150"
2019-08-13,34.5454828504787,"W = 150"
2019-08-14,34.5633150519865,"W = 150"
2019-08-15,34.9670836417306,"W = 150"
2019-08-16,35.2411771274978,"W = 150"
2019-08-19,35.8329217449175,"W = 150"
2019-08-20,35.9460127240577,"W = 150"
2019-08-21,36.3243294258964,"W = 150"
2019-08-22,36.6874818902466,"W = 150"
2019-08-23,37.2365204506604,"W = 150"
2019-08-26,37.904107267939,"W = 150"
2019-08-27,37.6673518285776,"W = 150"
2019-08-28,37.4337854202191,"W = 150"
2019-08-29,37.3395832980171,"W = 150"
2019-08-30,37.1304047757501,"W = 150"
2019-09-02,37.2754411171991,"W = 150"
2019-09-03,36.8987135121609,"W = 150"
2019-09-04,36.8463330606547,"W = 150"
2019-09-05,37.4411157761355,"W = 150"
2019-09-06,38.038047697094,"W = 150"
2019-09-09,37.3432349427203,"W = 150"
2019-09-10,37.8955211870393,"W = 150"
2019-09-11,37.9919848155631,"W = 150"
2019-09-12,37.5367027749601,"W = 150"
2019-09-13,37.6221907223077,"W = 150"
2019-09-16,37.2902733888159,"W = 150"
2019-09-17,37.4782116082148,"W = 150"
2019-09-18,37.8216094196,"W = 150"
2019-09-19,38.01286778426,"W = 150"
2019-09-20,38.2585615063534,"W = 150"
2019-09-23,38.1728356651719,"W = 150"
2019-09-24,38.1449651818074,"W = 150"
2019-09-25,38.1965503814833,"W = 150"
2019-09-26,38.4464858478534,"W = 150"
2019-09-27,38.7532655885229,"W = 150"
2019-09-30,39.7811969879176,"W = 150"
2019-10-01,39.7546916867834,"W = 150"
2019-10-02,39.7142720639026,"W = 150"
2019-10-03,39.8795136846595,"W = 150"
2019-10-04,39.5020491568826,"W = 150"
2019-10-07,39.943284344525,"W = 150"
2019-10-08,40.2067331907724,"W = 150"
2019-10-09,40.2464353214862,"W = 150"
2019-10-10,39.8761225991004,"W = 150"
2019-10-11,39.8604046135573,"W = 150"
2019-10-14,39.4815134019052,"W = 150"
2019-10-15,38.1441569178343,"W = 150"
2019-10-16,37.3217478390132,"W = 150"
2019-10-17,36.7736224848096,"W = 150"
2019-10-18,36.4743251253782,"W = 150"
2019-10-21,36.6673059305872,"W = 150"
2019-10-22,37.1767865401,"W = 150"
2019-10-23,37.0180111206226,"W = 150"
2019-10-24,36.3133057505584,"W = 150"
2019-10-25,36.1614221997406,"W = 150"
2019-10-28,36.127400183293,"W = 150"
2019-10-29,36.2637364957024,"W = 150"
2019-10-30,36.1021303657219,"W = 150"
2019-10-31,35.1614214203686,"W = 150"
2019-11-01,35.055823903947,"W = 150"
2019-11-04,34.592029185071,"W = 150"
2019-11-05,34.0607060253178,"W = 150"
2019-11-06,33.7251084926756,"W = 150"
2019-11-07,33.9769550668527,"W = 150"
2019-11-08,32.4189536752223,"W = 150"
2019-11-11,32.4579867926402,"W = 150"
2019-11-12,32.7259780481672,"W = 150"
2019-11-13,32.4052948857912,"W = 150"
2019-11-14,33.0664778689645,"W = 150"
2019-11-18,33.4803530125031,"W = 150"
2019-11-19,33.5644478783684,"W = 150"
2019-11-21,33.7992751945943,"W = 150"
2019-11-22,34.2456744976102,"W = 150"
2019-11-25,34.9216018802974,"W = 150"
2019-11-26,34.3482572234455,"W = 150"
2019-11-27,34.3588214413931,"W = 150"
2019-11-28,33.7917607120679,"W = 150"
2019-11-29,34.4633327625319,"W = 150"
2019-12-02,34.851635059769,"W = 150"
2019-12-03,34.8156795243199,"W = 150"
2019-12-04,36.0746613637011,"W = 150"
2019-12-05,37.0286745290242,"W = 150"
2019-12-06,36.9495456233019,"W = 150"
2019-12-09,36.9109500077181,"W = 150"
2019-12-10,37.5841932986032,"W = 150"
2019-12-11,37.5364517604717,"W = 150"
2019-12-12,38.4171609357933,"W = 150"
2019-12-13,37.1124875101963,"W = 150"
2019-12-16,36.1443884533183,"W = 150"
2019-12-17,36.9821327061758,"W = 150"
2019-12-18,36.712221658684,"W = 150"
2019-12-19,37.2223127997944,"W = 150"
2019-12-20,37.9546195814585,"W = 150"
2019-12-23,37.2687724078322,"W = 150"
2019-12-26,37.7955772919051,"W = 150"
2019-12-27,37.229382108335,"W = 150"
2019-12-30,37.0293460150407,"W = 150"
2020-01-02,36.9219275238072,"W = 150"
2020-01-03,37.1121561695983,"W = 150"
2020-01-06,37.5555612298432,"W = 150"
2020-01-07,37.9504229392405,"W = 150"
2020-01-08,38.2039208767729,"W = 150"
2020-01-09,34.6730819499053,"W = 150"
2020-01-10,34.3065432011539,"W = 150"
2020-01-13,34.2146486905356,"W = 150"
2020-01-14,34.4814914630305,"W = 150"
2020-01-15,34.5240018094944,"W = 150"
2020-01-16,34.3343549031301,"W = 150"
2020-01-17,34.2932319986698,"W = 150"
2020-01-20,34.2517530912217,"W = 150"
2020-01-21,34.287236977304,"W = 150"
2020-01-22,34.9766054511775,"W = 150"
2020-01-23,34.8056051650955,"W = 150"
2020-01-24,34.5026864960504,"W = 150"
2020-01-27,35.1893330301459,"W = 150"
2020-01-28,35.0059468688061,"W = 150"
2020-01-29,34.9533954897457,"W = 150"
2020-01-30,34.9967321953477,"W = 150"
2020-01-31,35.4013293933173,"W = 150"
2020-02-03,35.1225307350274,"W = 150"
2020-02-04,35.6206804607572,"W = 150"
2020-02-05,35.9968558476531,"W = 150"
2020-02-06,36.2334816908634,"W = 150"
2020-02-07,35.7579058360858,"W = 150"
2020-02-10,35.7177056402096,"W = 150"
2020-02-11,35.8519826536952,"W = 150"
2020-02-12,35.6249375309063,"W = 150"
2020-02-13,35.8600257402725,"W = 150"
2020-02-14,36.1394968301957,"W = 150"
2020-02-17,37.6484615736524,"W = 150"
2020-02-18,37.9355307588863,"W = 150"
2020-02-19,37.8961896792317,"W = 150"
2020-02-20,37.8333011865654,"W = 150"
2020-02-21,38.0179521001158,"W = 150"
2020-02-26,42.5316818208508,"W = 150"
2020-02-27,43.9847241819456,"W = 150"
2020-02-28,45.1326870003473,"W = 150"
2020-03-02,45.0445083611478,"W = 150"
2020-03-03,46.0155620271564,"W = 150"
2020-03-04,45.7506641483943,"W = 150"
2020-03-05,46.7297593629184,"W = 150"
2020-03-06,49.6315472761584,"W = 150"
2020-03-09,57.7481524782345,"W = 150"
2020-03-10,58.8386235653937,"W = 150"
2020-03-11,62.3480003369211,"W = 150"
2020-03-12,70.0603959999629,"W = 150"
2020-03-13,73.9962591098555,"W = 150"
2020-03-16,72.8640861636156,"W = 150"
2020-03-17,69.3062483477112,"W = 150"
2020-03-18,70.8592297223944,"W = 150"
2020-03-19,70.8315731676058,"W = 150"
2020-03-20,70.2036345382531,"W = 150"
2020-03-23,69.6731504728864,"W = 150"
2020-03-24,70.7683602940451,"W = 150"
2020-03-25,71.3931207920921,"W = 150"
2020-03-26,70.603513268631,"W = 150"
2020-03-27,71.6105779554718,"W = 150"
2020-03-30,71.5212309497751,"W = 150"
2020-03-31,71.2539750919398,"W = 150"
2020-04-01,71.6502277433661,"W = 150"
2020-04-02,71.5712455778833,"W = 150"
2020-04-03,71.9555212142334,"W = 150"
2020-04-06,73.1467280207909,"W = 150"
2020-04-07,73.5465724910547,"W = 150"
2020-04-08,73.1896484676127,"W = 150"
2020-04-09,72.9957098319174,"W = 150"
2020-04-13,73.1024823400371,"W = 150"
2020-04-14,73.1556458636979,"W = 150"
2020-04-15,73.1270899743305,"W = 150"
2020-04-16,73.1499438167455,"W = 150"
2020-04-17,73.2309792760577,"W = 150"
2020-04-20,73.1346661090671,"W = 150"
2020-04-22,72.9950751247691,"W = 150"
2020-04-23,73.2287206669308,"W = 150"
2020-04-24,74.256554672825,"W = 150"
2020-04-27,74.1601144429696,"W = 150"
2020-04-28,73.998989799613,"W = 150"
2020-04-29,73.9235174054724,"W = 150"
2020-04-30,74.1959840825454,"W = 150"
2020-05-04,73.9648971153159,"W = 150"
2020-05-05,73.9267989546529,"W = 150"
2020-05-06,73.524560149659,"W = 150"
2020-05-07,73.4868345810611,"W = 150"
2020-05-08,73.9413146056644,"W = 150"
2020-05-11,74.0541260495247,"W = 150"
2020-05-12,73.8907800106993,"W = 150"
2020-05-13,73.4708813584414,"W = 150"
2020-05-14,73.6561384818747,"W = 150"
2020-05-15,73.5445703837308,"W = 150"
2020-05-18,73.6492528748049,"W = 150"
2020-05-19,73.3533657338918,"W = 150"
2020-05-20,73.448532799043,"W = 150"
2020-05-21,73.2956068125004,"W = 150"
2020-05-22,73.4576494992318,"W = 150"
2020-05-25,74.0895771270159,"W = 150"
2020-05-26,74.0618764757532,"W = 150"
2020-05-27,74.1578098879928,"W = 150"
2020-05-28,74.2442285098541,"W = 150"
2020-05-29,74.3555545864167,"W = 150"
2020-06-01,74.1473271440006,"W = 150"
2020-06-02,74.0852533965155,"W = 150"
2020-06-03,74.6326935784435,"W = 150"
2020-06-04,74.4987935857396,"W = 150"
2020-06-05,75.0663303234419,"W = 150"
2020-06-08,75.1799658119735,"W = 150"
2020-06-09,75.8425065505236,"W = 150"
2020-06-10,75.7582249275748,"W = 150"
2020-06-12,75.6801659939004,"W = 150"
