"data","TCI"
2019-11-13,51.0766402010512
2019-11-14,52.2376434014048
2019-11-18,52.7567339736468
2019-11-19,52.758365505776
2019-11-21,52.9482626299746
2019-11-22,53.3310226593901
2019-11-25,53.2207221277487
2019-11-26,53.206801261736
2019-11-27,51.992155039797
2019-11-28,52.5508398453444
2019-11-29,52.2917328551931
2019-12-02,53.0131288942645
2019-12-03,53.5225073307693
2019-12-04,54.6575485026355
2019-12-05,55.0704988442533
2019-12-06,56.2073261649395
2019-12-09,56.2771627580358
2019-12-10,55.3539028219879
2019-12-11,55.8392071528784
2019-12-12,55.991960397203
2019-12-13,55.3725016250395
2019-12-16,55.4875384242965
2019-12-17,56.0016352971546
2019-12-18,56.0712885992948
2019-12-19,56.2675362989359
2019-12-20,55.9510994416062
2019-12-23,55.8560104629402
2019-12-26,55.5120671707652
2019-12-27,55.409480999136
2019-12-30,54.595379247124
2020-01-02,54.6255765611983
2020-01-03,55.5528015195464
2020-01-06,55.7869996727681
2020-01-07,55.9668672708077
2020-01-08,55.9602649431957
2020-01-09,56.130343700157
2020-01-10,55.3664096956242
2020-01-13,54.8905942114757
2020-01-14,55.3049798171748
2020-01-15,55.2652053208113
2020-01-16,55.2131141107108
2020-01-17,54.9450138016557
2020-01-20,54.9218786615613
2020-01-21,54.1118825185936
2020-01-22,53.6992686047249
2020-01-23,54.0865153912744
2020-01-24,53.8551175822433
2020-01-27,54.0116849988797
2020-01-28,53.828588363279
2020-01-29,53.8132919343012
2020-01-30,53.358726546851
2020-01-31,53.0510666396126
2020-02-03,53.3744460059444
2020-02-04,53.2404540197001
2020-02-05,53.5327589687755
2020-02-06,54.0437783727058
2020-02-07,53.6441345842417
2020-02-10,52.6045493262835
2020-02-11,52.0494244797431
2020-02-12,51.9766291640275
2020-02-13,52.0286622876742
2020-02-14,52.011644652703
2020-02-17,52.3934876897594
2020-02-18,52.3767448776061
2020-02-19,52.3138487489012
2020-02-20,52.5365837753294
2020-02-21,53.1581340595801
2020-02-26,58.2359011779029
2020-02-27,57.9672049009027
2020-02-28,58.8080593840501
2020-03-02,57.9877704716461
2020-03-03,57.9340541771798
2020-03-04,58.273099532546
2020-03-05,57.7771129609552
2020-03-06,59.2827055090374
2020-03-09,67.1869230776779
2020-03-10,68.105011606231
2020-03-11,70.219251656184
2020-03-12,75.9061818073743
2020-03-13,80.5314925611461
2020-03-16,77.6683993226786
2020-03-17,76.29585292903
2020-03-18,76.2673010736858
2020-03-19,76.130227707504
2020-03-20,76.0810961977841
2020-03-23,76.2278824907323
2020-03-24,76.2173582083391
2020-03-25,76.3492846996356
2020-03-26,76.5548311023108
2020-03-27,76.5993274932163
2020-03-30,76.6763678428371
2020-03-31,76.9740918090416
2020-04-01,77.0140479607288
2020-04-02,77.1509992457864
2020-04-03,77.2817401267422
2020-04-06,77.1402171767519
2020-04-07,77.1973356364262
2020-04-08,77.3659760812006
2020-04-09,77.6738054305629
2020-04-13,78.2902135149689
2020-04-14,78.7330850127194
2020-04-15,79.5821768473261
2020-04-16,79.1449253336436
2020-04-17,79.8325943281972
2020-04-20,79.9306659953198
2020-04-22,79.7398179021804
2020-04-23,79.7530727276283
2020-04-24,79.7091829444406
2020-04-27,79.8113714032167
2020-04-28,79.7022130708307
2020-04-29,79.7659142648251
2020-04-30,79.6711566298052
2020-05-04,79.5729256677446
2020-05-05,79.4884118279433
2020-05-06,79.4817226768304
2020-05-07,79.3366985484065
2020-05-08,79.2814979642456
2020-05-11,79.428742168583
2020-05-12,79.3709531575922
2020-05-13,79.383936307407
2020-05-14,79.3237163746662
2020-05-15,79.4134979227674
2020-05-18,79.4468701114629
2020-05-19,79.4960448962094
2020-05-20,78.9561039001653
2020-05-21,78.5201950916795
2020-05-22,78.1703401551528
2020-05-25,78.2241472340737
2020-05-26,78.4011335706492
2020-05-27,78.459913954589
2020-05-28,78.4214491716875
2020-05-29,78.495825729605
2020-06-01,78.217182084687
2020-06-02,77.9934470706271
2020-06-03,77.9008748613767
2020-06-04,77.7982514443034
2020-06-05,77.7673016173815
2020-06-08,77.816381805993
2020-06-09,77.7815622956418
2020-06-10,78.4999369460873
2020-06-12,78.4120347492734
2020-06-15,78.3470569567856
2020-06-16,78.3611841985585
2020-06-17,78.5058266374622
2020-06-18,78.7753999661892
2020-06-19,78.8121768211924
2020-06-22,78.8871823475691
2020-06-23,78.9908035915407
2020-06-24,78.9777111293651
2020-06-25,79.1864611256886
2020-06-26,79.3592528718701
2020-06-29,79.5500982554218
2020-06-30,79.7158465357383
2020-07-01,79.9644390633227
2020-07-02,80.1276655209114
2020-07-03,80.3793710867456
2020-07-06,80.596650316291
2020-07-07,81.0509026366024
2020-07-08,81.4036224101508
2020-07-09,81.8043958859734
2020-07-10,81.6657213404291
2020-07-13,81.8551853229348
2020-07-14,81.9073995105393
2020-07-15,82.0247342780875
2020-07-16,81.9144781217863
2020-07-17,81.9106367814608
2020-07-20,81.8430167601356
2020-07-21,81.7898084295037
2020-07-22,82.0051606534808
2020-07-23,82.0048794435811
2020-07-24,81.9755780444114
2020-07-27,82.0542077457949
2020-07-28,82.1041104949097
2020-07-29,82.0019441349154
2020-07-30,82.0906322190569
2020-07-31,82.1115271368179
2020-08-03,82.2909384008799
2020-08-04,82.3051226157136
2020-08-05,82.4830716244385
2020-08-06,82.6494202145352
2020-08-07,82.6948779724891
2020-08-10,82.6558960028205
2020-08-11,82.4064320572182
2020-08-12,82.5933380464883
2020-08-13,82.5138511085788
