"Subamostra","Periodo","TCI","Maior_transmissor","Maior_receptor"
"Primeira metade","2019-01-03 a 2022-07-06",55.72,"ITUB4","BRSR6"
"Segunda metade","2022-07-07 a 2025-12-30",33.59,"ITUB4","ABCB4"
