"kappa1","kappa2","peso_posterior","TCI_medio","Maior_transmissor","Maior_receptor"
0.995,0.99,1,49.69,"ITUB4","BRSR6"
0.99,0.99,0,49.05,"ITUB4","BRSR6"
0.94,0.94,0,57.89,"ITUB4","BRSR6"
