"data","itub_bbdc","btg_pan","bb_brsr","abc_san","ambos_grande"
2019-01-31,5.94865292863144,5.64592147384771,0.340881697564857,-2.03110030244008,4.51883815121216
2019-02-28,7.93677568937129,5.61618950676172,-0.680777639543404,-1.69693423814735,4.25522368305178
2019-03-29,8.02406002713171,5.63095035029691,-0.339148334289593,-2.15119684836458,4.22676542088576
2019-04-30,7.08012834120794,6.86714776746839,-0.719072442753265,-2.8456512441775,4.33671278871768
2019-05-31,5.68275903738308,11.301673158604,-0.400638785073696,-3.27935151382501,3.04349858935533
2019-06-28,7.34313474412311,10.8376144814089,-0.526211299773944,-2.91106550625161,3.27053207157019
2019-07-31,8.67340140704047,10.0646077097037,-0.784041129051061,-3.31413474799469,2.14042163379273
2019-08-30,8.30567974318725,11.7312596117426,-1.37876890453978,-2.27463536372942,2.51369409957351
2019-09-30,8.52700691472439,11.5783093322166,-0.838614011454755,-2.84828226624509,2.27899182721008
2019-10-31,10.6685629076699,9.81913608570816,0.288540606649178,-2.10265826103955,3.01332150843013
2019-11-29,11.9062767718828,9.43632127416671,-0.684072404432057,-0.835657324670356,3.20446534469141
2019-12-30,12.7727814090877,9.2290572661503,-1.30540853943872,1.13046979219616,2.83977772387692
2020-01-31,14.0043988026081,8.23831071214184,-1.23466985245859,2.44499184668098,3.09764114561676
2020-02-28,13.6721154066974,8.36045294631077,-1.32249719225249,1.73758010932149,3.94015417017405
2020-03-31,6.29930109100691,5.18341074325267,0.079858383714818,0.424386116468082,3.22598986003578
2020-04-30,5.95950955536667,4.53568611295393,0.514229061308018,0.080679873555921,2.81807119269913
2020-05-29,4.85836655068011,4.18061625469729,0.259862440389816,0.0162262174719212,2.4721852185817
2020-06-30,4.20211982456442,4.26984814143936,0.544109714007036,0.200359824824203,2.76817227207979
2020-07-31,5.16785057914239,4.37049540733986,1.01365741671369,-0.0846128683853988,3.49539501060697
2020-08-31,5.96749481396842,4.66981719397675,0.670388402977149,-1.30439074585351,3.11271624718506
2020-09-30,7.17444411369855,6.00669091965541,-0.811457206983968,-1.68688953502479,2.22889638350627
2020-10-30,7.118097441591,6.14483546274408,-0.915516121192253,-1.42130447282088,2.24871340452012
2020-11-30,7.72040114611843,7.01160152108423,-1.03374185653045,-1.77484589127317,2.06128399087753
2020-12-30,6.71147565759446,6.43206243897198,-0.51944704906587,-1.80927184932653,2.57656244077268
2021-01-29,6.40228327857034,7.79441873866026,-0.64378394522869,-1.62375327984453,2.58968570277589
2021-02-26,6.80127570482976,6.02495064522733,0.506618588756102,-2.59385720421943,1.50175091750275
2021-03-31,7.91198525467136,4.57805000839586,0.937594565173322,-2.17459501035416,1.60909401494251
2021-04-30,9.54363570154126,6.23929860420442,1.14864546675106,-2.06725448003426,1.58700225852917
2021-05-31,9.60517782342689,5.40192093677505,1.88170349808959,-1.73479463316576,1.47546768746366
2021-06-30,9.14576597277806,4.85553124846565,1.83071702499682,-1.76312685948419,0.940213616875071
2021-07-30,7.69341840112555,4.72020820866563,3.34091067099602,-2.90161859855376,0.639284297110548
2021-08-31,8.92148872995453,7.02917972078029,3.03782432043929,-3.74523110984074,1.32094069645603
2021-09-30,11.0287997462267,7.08236716512123,3.45574577069802,3.94559218238777,2.2744154446242
2021-10-29,7.87630659856227,8.10672896643054,2.98518870398647,3.97230980693376,2.46026358128702
2021-11-30,7.30706322376574,8.93009906797742,3.70421160483197,3.39518814441801,2.75584056234563
2021-12-30,7.4980702278119,8.99210492572496,2.67052472064451,2.39903596689359,3.52830397638714
2022-01-31,6.66964025712221,11.2593451444819,3.47798280315737,1.38023354975087,3.90561636530749
2022-02-25,7.91743657836933,10.9783511439202,3.37806405385464,1.58699487715619,4.57202365040384
2022-03-31,7.36055346110939,11.255281024357,3.4882514924694,-0.327157771095011,4.27744462257896
2022-04-29,6.88634974771827,10.5886964701024,3.31757730016323,-1.73185243414744,5.04036575836208
2022-05-31,7.82853985074539,12.8609276050233,1.63979128395555,-2.12869284022732,4.83977291047163
2022-06-30,8.37909134267255,13.5069866124906,-0.410384183077822,-2.94649649916721,3.68088226234468
2022-07-29,7.80200213794255,7.82408856624448,-0.122127552853395,-2.78447564623824,4.03862123319621
2022-08-31,7.17889010275582,8.60057343002394,2.01950764809569,-4.00144125780365,3.48276575589924
2022-09-30,8.25317609757028,7.76069810241915,1.45040771120823,-4.31751779241706,2.55302852327698
2022-10-31,7.08165582870924,7.70667379898713,1.43990909647771,-3.82516299461293,3.19256904958114
2022-11-30,8.29735592335373,8.03763480987056,1.1867073505457,-4.9638404488803,1.67649626183484
2022-12-29,5.97977756972895,6.171343027892,1.03150875804261,-3.52096860651471,1.32833695218342
2023-01-31,5.53822023101455,5.46781092824321,0.438329845795938,-3.21177630085291,1.68867884124715
2023-02-28,3.36130967013342,3.97151776030434,3.30244615195304,-3.97573662614648,2.33042085963456
2023-03-31,3.27942375369788,3.62351530372055,3.78969572639883,-2.70680918003163,3.04215797545686
2023-04-28,3.49078289951788,4.60437143490388,3.29864406313012,-2.29343287118273,2.11029022969041
2023-05-31,3.72269303981225,2.28302357715906,4.38599043727993,-0.778863731713647,4.14782920022549
2023-06-30,4.04105912919882,1.67329830406502,6.56225036074257,-0.407829399831143,5.5419273541732
2023-07-31,6.76515263544872,1.88844502602573,4.30323265317738,-0.471445547833411,5.39289035093445
2023-08-31,7.21343510990585,-0.0603588704713037,3.88261244657226,-0.780934543392259,5.14379311686159
2023-09-29,9.29659129347544,-0.300206049085616,1.13741159431576,-0.471489004940152,5.3426386163544
2023-10-31,9.15680939792509,1.20686687422,1.34599072516996,-0.861482275761136,5.22355465200683
2023-11-30,8.32188998051905,1.92002141478548,1.18597929709872,-1.95421042063358,4.09058957019155
2023-12-28,6.07147416295571,2.65838428094473,-0.582889208905571,-1.40452323922431,4.91417895731009
2024-01-31,4.97666078394951,2.1620378647086,-1.16831641236364,-1.15304010179212,5.24270542253427
2024-02-29,4.661295758797,2.61801955227656,0.124336603574579,-1.84756205934666,3.6607347108109
2024-03-28,4.45704186169568,0.0504839748135433,1.62716389002705,-3.10467773272724,3.66665677366846
2024-04-30,3.04255655524987,0.887328789443042,0.678309908020511,-2.49975573495426,4.73649642625401
2024-05-31,4.63447066919056,2.34014337353964,-1.10673403557943,-1.02697622520588,4.14447583179063
2024-06-28,3.33026881770634,1.52443276367405,-1.66047325937066,-1.04233201156839,3.28295998040188
2024-07-31,3.97022668614892,0.819816654468625,-2.02323969376942,1.47224213832592,3.13731435287966
2024-08-30,2.58232893555353,2.37282238981424,-1.94254072487068,0.709135901712569,2.61861444823729
2024-09-30,1.88588381830882,2.99528062739443,-2.43051076888425,0.275399673168914,3.15620387401521
2024-10-31,2.98019535657842,-1.03917311194642,-0.87775325018785,-0.263765085876161,6.09117062854084
2024-11-29,3.11758297183909,0.475880420059185,-1.0902975008982,-0.597248314401509,5.4611241815466
2024-12-30,1.75921051123318,-0.269365014171794,0.534247591626301,-1.07417546310105,5.11227768185752
2025-01-31,0.366185282906146,0.255605629380611,-2.29247001167132,-0.960499215340917,4.96395946414941
2025-02-28,0.351928193878497,-0.451772513165657,-1.88078384972191,-1.18412042602152,4.63470228398964
2025-03-31,1.02773147002299,-0.58985685411757,-2.39527433341483,-0.922968066285024,4.12733666130236
2025-04-30,1.70104043076868,-0.26352192606309,-1.54491431305394,-0.039345978145172,4.39781481762568
2025-05-30,2.79860212730611,0.887103574019511,1.26610805965668,-0.139934126963791,7.02670658299079
2025-06-30,2.26055086222412,2.41764399065946,1.37146443604122,0.249500978693516,7.02372608140728
