"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","BPAN4"
2019-10-16,9.16954769916996,1.49362036677034,6.14903969703008,-5.57077631889793,-1.77862858234976,-6.25843035719894,-2.0095978027771,-1.19477470174665
2019-10-17,8.87230949977067,1.32772219965968,6.46587816453191,-6.31042104342775,-0.932883583087264,-6.14846496387918,-2.07605376379643,-1.19808650977162
2019-10-18,8.59593868560916,1.42405001161544,3.40165177834622,-5.16812887148764,-0.895345349406163,-5.57126153097512,-1.11396971012425,-0.672935013577639
2019-10-21,8.51808966021039,1.53484320192884,3.02356871408409,-4.80178495536805,-0.184910197486861,-6.17049130417086,-1.06910100216637,-0.850214117031165
2019-10-22,8.63495681859882,1.77784247698369,2.50353615181902,-5.22871634404175,0.334177203454551,-5.93364136833878,-0.879984948178194,-1.20816999029737
2019-10-23,8.98290284178822,1.80228095036691,3.18969977394482,-5.39460513430095,-0.110944958852393,-5.69679854466576,-1.42945774093018,-1.34307718735066
2019-10-24,8.93939420141854,1.36848738425851,2.41237764339269,-4.74995102840053,0.272434521184369,-5.53763189767464,-1.43756297240907,-1.26754785176988
2019-10-25,8.64219742133359,1.28803220375637,2.23283604514503,-5.01970985180848,0.393213232856741,-5.05662937030362,-1.1976698654407,-1.28226981553893
2019-10-28,8.0964555901456,2.02685993880653,2.47100599241058,-4.87322046354891,0.410300996187242,-5.07707610664074,-1.90421190604571,-1.1501140413146
2019-10-29,8.01700256559634,2.23290851851789,2.56530798862986,-4.90661201197135,0.409747092322043,-4.87040462038838,-2.17139255314357,-1.27655697956283
2019-10-30,8.94817576868632,1.68252859942938,1.16403492067463,-3.98781007784541,0.319281829060451,-5.23181007801335,-1.44039808184018,-1.45400288015183
2019-10-31,7.97922004904705,1.33941726318977,1.49889083457533,-3.33522149289733,0.62315967729409,-4.57255996574426,-1.77648687510271,-1.75641949036195
2019-11-01,7.15108079177026,0.953815839739839,0.253756875955951,-1.9376476968166,-0.56339388822277,-5.13232489742711,1.39074504471504,-2.1160320697146
2019-11-04,6.90027298741406,0.226254963352432,0.288630036154437,-2.30583386042116,-0.698063639022514,-4.9773447805423,2.44761320680131,-1.88152891373627
2019-11-05,7.82592705196578,3.16914446445719,1.06704893533125,-3.96201400477889,-0.240748032169645,-4.56078099873555,-1.19481474539614,-2.10376267067399
2019-11-06,7.44517968217457,3.83291448277106,1.03086157810311,-4.90374656133443,-0.557663257383989,-4.73609457421227,-0.111766772511388,-1.99968457760665
2019-11-07,7.79639097203984,3.21705097605782,1.11175159626373,-7.13747086195008,0.474495249833939,-4.58165050373152,1.21987458673092,-2.10044201524465
