"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4","BPAN4"
2019-01-03,22.6527698990246,9.81435190367682,-7.68323016925145,5.88032551706829,8.38266975739248,-19.4554787025403,-13.8282365398296,-5.76317166554081
2019-01-04,22.6647025236531,9.83425269730409,-7.67940452165811,5.89960881277242,8.39011321347056,-19.4424265410763,-13.8567358945054,-5.81011028996036
2019-01-07,22.5198670494819,9.81303725095773,-7.90666994532639,6.15985296567303,8.33814504467284,-19.6625246021532,-13.6596736119227,-5.60203415138326
2019-01-08,22.8313506873786,10.8312352707972,-6.36829578023944,6.87996598779493,9.12410902618533,-19.9078330861711,-14.8558349921179,-8.53469711362765
2019-01-09,22.6033870803542,11.7015293618805,-5.87966789001456,5.4809448739276,7.86072300180385,-19.4444536745502,-14.327129182526,-7.9953335708754
2019-01-10,22.3611630001978,10.9595172288266,-6.9449690544668,5.65323421537281,8.46673275583852,-19.5003890177773,-13.5682383346521,-7.42705079333957
2019-01-11,22.6240553948799,10.4977342252896,-7.13859114353447,5.84881060553009,8.15832962679691,-19.2882637537524,-13.5301253715489,-7.17194958366081
2019-01-14,22.8548029054747,11.4503979695985,-6.9151766019639,4.12303639512935,10.3947601638537,-20.0913815994686,-13.8932678874931,-7.92317134513059
2019-01-15,22.5280129691025,11.4217227092901,-6.61520577067397,4.71115752120563,9.39546084885692,-20.0068336666802,-13.748228025653,-7.68608658544796
2019-01-16,22.9782154401731,9.36905011264052,-7.74838306659305,5.4622391036025,9.43559330312321,-19.5896750967872,-12.802013938989,-7.10502585717004
2019-01-17,22.9268037289168,9.26551900994028,-7.72739245850268,5.43654566300533,9.48439649968408,-19.5722113878925,-12.9279344460928,-6.88572660905848
2019-01-18,23.9174724793963,9.77380434119375,-7.27296995753596,6.56709176029605,6.45807876969739,-20.0032030855905,-13.6928224823578,-5.74745182509924
2019-01-21,24.2533089277838,10.1677205053165,-6.90780722384321,6.85182826790419,4.51993048587615,-20.264218740749,-13.4402077000354,-5.180554522253
2019-01-22,24.3083732904348,10.1407474280695,-6.8837332707803,6.87091542775923,4.38604122548055,-20.0803469719806,-13.5719188270804,-5.17007830190267
2019-01-23,24.4261706087422,9.39857242133169,-6.33744124646925,4.88445211365716,4.66328419859266,-19.3262593241521,-13.1751605268077,-4.53361824489475
2019-01-24,25.0804756299261,7.01024369726133,-5.50347914269261,4.58497483636349,3.92724370237514,-18.6698674139231,-13.4530306517909,-2.97656065751949
2019-01-28,25.0765920201164,6.22809165274308,-4.25112218021667,5.33115847304884,4.69914679749591,-18.625761129454,-15.3363456250593,-3.12176000867428
2019-01-29,25.7698762980273,7.05189887880407,-4.96774115751818,4.40437313989665,4.28755566216332,-18.6725682936431,-15.1796693228161,-2.693725204914
2019-01-30,26.3026707466143,7.6527675550119,-6.03272774877265,5.62636195727407,3.41589564168797,-18.2346211635999,-16.1361651009487,-2.59418188726703
2019-01-31,26.748434444928,4.62940139180543,-5.63671523720395,5.44229028894227,4.01405900293087,-17.779600619793,-15.3882776968838,-2.02959157472571
2019-02-01,26.0263593814943,3.89032244701993,-5.60752754266866,6.63399654998832,2.57185166060306,-19.599446500568,-12.0107672160449,-1.90478877982402
2019-02-04,26.1875993447952,4.59608451826537,-5.20322431520158,6.43200093321238,2.75500563172491,-19.554321011722,-12.1829046527918,-3.03024044828252
2019-02-05,24.6827365503611,5.69057737545379,-6.43299493633546,7.4795870785025,2.4040292362494,-19.0885932886557,-12.04971243911,-2.68562957646564
2019-02-06,24.4150669067587,4.44395501556356,-6.50166656093752,6.96084846420993,3.16666459568228,-17.9873280943921,-12.5740714732332,-1.92346885365156
2019-02-07,24.7713906983473,4.88082805539489,-3.9370688567142,6.43276269607833,2.52977629851854,-18.681640282888,-13.7133443928232,-2.2827042159136
2019-02-08,23.3381153954113,5.26615347390793,-3.16464669976889,4.2762374153945,3.63603307154835,-17.8438884697583,-14.399950537267,-1.10805364946792
2019-02-11,24.322552250884,5.04048851661491,-2.38774653323053,5.33566170422441,5.42795625645484,-18.9891927606748,-15.3100955064519,-3.43962392782091
2019-02-12,24.4172123864124,5.316856370735,-2.21490322422396,5.34371387676269,4.54587163837876,-18.5236367332528,-15.3980361701904,-3.48707814462172
2019-02-13,22.902756802084,4.92090227809065,-1.90068182017387,5.68365307998991,4.97539583071104,-18.0155328855647,-15.4201965219464,-3.1462967631906
2019-02-14,23.4444227526327,5.88784008238939,-0.784574424086358,5.49292710860381,3.11428595522904,-18.7761658394552,-15.5679075829276,-2.81082805238573
2019-02-15,24.6292455322311,6.71555610482169,-2.23963904164724,3.229845675588,6.75650508136163,-18.2483787365126,-14.7296209803587,-6.1135136354838
2019-02-18,20.3916927098206,7.27285563568275,-1.76392590516465,3.02556382421021,7.60336373469584,-17.7331802478467,-14.4393843402115,-4.35698541118653
2019-02-19,20.6120870850787,7.17325759386849,-1.36838805116231,3.306008459248,6.34024388865714,-17.6487090906457,-14.6504664803645,-3.7640334046798
2019-02-20,20.3627004023862,7.91187299589871,-2.41396949166075,4.1344832048612,7.28522741450308,-17.1505557603076,-14.2103946048663,-5.91936416081448
2019-02-21,20.5974078269204,7.27271446740541,-2.26603410223671,4.25498920317687,6.93619047883745,-16.990570910592,-14.6351739184128,-5.1695230450986
2019-02-22,20.5558632315049,7.09912303724943,-2.18398123858287,4.03520868355039,7.07359742956179,-16.8497494314607,-14.5415821174858,-5.18847959433713
2019-02-25,20.7304030549165,7.62598336055768,-1.80949966896126,3.19683318812839,6.48180191667615,-16.8599945968146,-14.3052803269246,-5.06024692757819
2019-02-26,23.2728523673922,8.99886503301258,-2.1418864624146,3.96534311726306,5.16390198283396,-18.5697579498231,-14.380240614454,-6.30907747381007
2019-02-27,18.8840810972478,7.23216068938738,-4.02475710160824,5.46849308752857,8.07001068502281,-17.6378997691405,-13.9472609028068,-4.04482778563103
2019-02-28,20.5872264073835,8.26426109164557,-3.73552244462589,5.68258802399296,6.25381986600672,-18.3348271764791,-13.5656936811059,-5.1518520868178
2019-03-01,20.3875321788885,8.41633028994063,-3.97771517243194,5.83894182478522,6.16671377374449,-18.0770488514088,-13.6430551302741,-5.11169891324402
2019-03-06,18.9528527444583,6.59818071765815,-2.88988135782277,5.77482712391188,7.53550904825786,-17.8585936212849,-12.7557908813939,-5.35710377378457
2019-03-07,18.5431762639774,7.91684216388154,-2.24348258121356,3.77108856716613,8.8928725341392,-18.1023902368255,-12.5618006631925,-6.21630604793266
2019-03-08,18.6107732689491,7.87234197590826,-1.26692414341023,3.65932296239571,6.63173799783523,-17.9920812899272,-11.6890376317249,-5.82613314002597
2019-03-11,19.1348649390381,8.89308288860713,-1.65190401736142,4.17365188049627,4.74275862674569,-17.8958354094339,-11.7613432337658,-5.63527567432609
2019-03-12,19.9470134037542,9.73744201214838,-2.68613913621759,4.95163635057196,4.74813225016308,-18.5904761386156,-12.523621027096,-5.58398771470851
2019-03-13,19.7694664900383,9.67941869787481,-2.41918786728856,5.42530252660836,4.03960845188102,-18.0098245159845,-12.6020100776226,-5.88277370550682
2019-03-14,17.5306414209462,9.5707299749744,-4.59009391519736,6.34974414178673,6.76047712648656,-17.7115874810715,-11.2910598496116,-6.61885141831341
2019-03-15,18.0784952392511,8.05303435224871,-3.95456922518532,6.03897374876922,6.66113601628505,-17.3822230930069,-11.1565633112791,-6.33828372708284
2019-03-18,17.2808492133461,8.71889506953444,-3.78667722955866,5.7681551275354,6.72027139016357,-17.3811954661556,-11.0319075857392,-6.28839051912611
