"H","TCI","Maior_transmissor","Maior_receptor"
5,46.47,"ITUB4","BRSR6"
10,50.13,"ITUB4","BRSR6"
15,50.8,"ITUB4","BRSR6"
20,50.93,"ITUB4","BRSR6"
