"Banco","TO","FROM","NET"
"ITUB4",78.75,64.35,14.41
"BBDC4",69.06,63.39,5.67
"BBAS3",67.2,61.89,5.31
"SANB11",51.04,56.17,-5.13
"ABCB4",47.83,52.91,-5.08
"BRSR6",41.52,49.61,-8.09
"BPAC11",14.68,21.77,-7.09
