"","Media","DP","Min","Mediana","Max","Assimetria","Curtose"
"ITUB4",-2.4995,0.3413,-3.2607,-2.5408,-0.9457,1.181,2.5733
"BBDC4",-2.3981,0.3219,-3.1262,-2.456,-0.8344,1.3189,3.142
"BBAS3",-2.3614,0.4082,-3.2332,-2.3818,-0.6738,0.8379,1.7859
"SANB11",-2.379,0.3398,-3.1094,-2.42,-0.8438,0.967,1.8454
"BPAC11",-2.1866,0.2944,-2.833,-2.2118,-0.4574,1.9443,8.0477
"BRSR6",-2.3067,0.3267,-3.079,-2.3403,-0.999,0.6149,0.5395
"ABCB4",-2.3986,0.3127,-3.1552,-2.4114,-0.9188,1.1757,3.1591
