"data","par_itub_bbdc","par_bb_brsr","par_abc_san","ambos_grande"
2017-10-31,10.0810790922076,-0.263671275953761,-1.68466517464268,1.97950824509168
2017-11-30,12.7056704884154,-1.03138702558648,0.331066867229938,2.90937919594219
2017-12-28,11.7930401245826,-0.908198031016152,0.463106175831244,3.10026538530243
2018-01-31,10.3616988002849,-0.524842047720203,-1.28510405320854,2.01052846148503
2018-02-28,12.7803851505911,0.877649980785906,-1.31998783904661,1.6714586985204
2018-03-29,14.0931727564358,1.54726381680465,-1.55689576355301,2.39238796461287
2018-04-30,16.8646584157059,1.82137711859025,-0.994231086583858,2.78732157590125
2018-05-30,16.1608884007243,-0.292875545028219,-1.42168893988336,2.76019134368355
2018-06-29,13.2039165141866,0.154032578254886,-2.70935967355345,2.39496649518512
2018-07-31,11.5521545725505,0.14779047204296,-3.20787437143282,2.04254812631057
2018-08-31,11.5881797200918,1.54926409830688,-3.06689026847761,1.95558508864147
2018-09-28,10.4556833030302,1.56095454466917,-3.40055616611633,2.17543658310428
2018-10-31,8.49671565678399,0.773572289920263,-3.13888991832894,1.4699292764978
2018-11-30,7.9131538914502,2.34637422659695,-3.69579983081243,1.5186639058315
2018-12-28,7.6774260483227,3.0568283552255,-4.68430314478111,1.29272074301517
2019-01-31,7.92477432032041,2.99631333902875,-3.49382331839427,2.71771814141757
2019-02-28,9.42574432184487,1.66466732575957,-3.22060402432598,1.30517232580323
2019-03-29,9.07134828996371,1.48860325270411,-3.05446028262283,1.88614898954388
2019-04-30,8.52891255336443,0.597586929620045,-3.7557635787711,1.16862279638438
2019-05-31,7.69359503388333,0.563167189429501,-3.54971078726654,0.459966628764417
2019-06-28,9.58902779817374,0.0841300676328595,-3.18695049234829,-0.148963187232356
2019-07-31,9.92055323670037,0.122233653102067,-3.95706383043107,-1.64747892947953
2019-08-30,9.56289416642943,-0.341742668790585,-2.9330443941019,-1.18931059821414
2019-09-30,9.54404953186818,0.487911042436374,-3.3434096852767,-1.23601903809228
2019-10-31,12.5070807605067,2.29479543856944,-2.34744091066964,1.09941117683442
2019-11-29,14.6519730405299,0.185885319182563,-0.750210644904557,-0.18254925719335
2019-12-30,14.9344607890881,-0.272745404519566,1.21833970374731,-0.121338791500479
2020-01-31,16.7284087664969,-0.882574341913839,2.2839042442068,1.37899664327739
2020-02-28,15.5582589575774,-1.14945529301958,1.68602526212028,2.29927425923959
2020-03-31,6.05520895038104,1.11846480793488,0.160552212717371,2.00677759036543
2020-04-30,5.45651527327766,1.52969301180269,-0.259991853103611,1.33605286965959
2020-05-29,4.66916119260734,1.09777995885206,-0.335834993147211,1.46579224545015
2020-06-30,4.09591762381398,1.1681865757424,0.0912576913428069,2.00318710543909
2020-07-31,4.78107682719097,1.86391506982949,-0.301030784498296,2.17021202909129
2020-08-31,6.22462294338965,1.80853677698222,-2.30736815906338,0.908332709069724
2020-09-30,7.71339615461266,0.146690658444009,-3.01601829828846,-0.24455416096595
2020-10-30,7.5058390323908,0.102149941610474,-2.48471757884939,0.1833840095583
2020-11-30,8.24851764944577,-0.1138852270041,-2.82263386403821,-0.216058253101572
2020-12-30,7.20983403136388,0.247414290354125,-2.64246566699353,0.414860475697183
2021-01-29,6.80898307327695,0.330204179712569,-2.5029698297381,0.461692094603956
2021-02-26,7.18733301983664,1.62587664777047,-3.21175628064693,0.60290045043751
2021-03-31,8.33871030007323,2.05751818717749,-2.47123774160138,1.09252534145048
2021-04-30,9.52010873928987,2.55754245121923,-2.03679455053354,1.27068804369944
2021-05-31,9.85283175340277,3.39328862298417,-2.26593556238301,0.35972145240661
2021-06-30,9.64543263891199,3.26933443261121,-2.29222334061408,0.130316939262776
2021-07-30,7.9745133507447,5.12982154414334,-3.15033819256862,0.269543293563544
2021-08-31,9.40740471795183,4.65188985149207,-4.31923685343817,0.355699929198345
2021-09-30,11.5320091413449,5.0029397885639,4.13257405367787,1.66120837901422
2021-10-29,8.51797212854766,4.12931632071234,4.39380161370223,1.65544142640777
2021-11-30,8.05058947718826,4.85245293506896,3.44498050032849,1.26891693895163
2021-12-30,8.27005202215739,3.16436208662054,2.25167342860109,0.592683801021085
2022-01-31,7.29892250377014,3.72989367931902,1.17403372553837,-0.384376580228904
2022-02-25,8.78344742218,3.45478180329582,2.28019863786856,2.21486583559096
2022-03-31,8.04167143318627,3.55139785693251,0.276795298395246,1.53425488790781
2022-04-29,7.83852414326079,3.14742569849338,-1.42819696003191,2.11744789831781
2022-05-31,8.22949277846421,1.63367104623545,-1.63274154600346,4.11721204511707
2022-06-30,9.07531038256979,-1.00546098035639,-3.11031253781359,0.800357735224248
2022-07-29,7.79405268540505,-0.638081656240889,-2.60277239517813,1.55657264079216
2022-08-31,7.39917452847495,2.20128289097605,-4.57012108082744,0.630508099684822
2022-09-30,8.22026646525324,1.39336912363842,-5.33446408401494,-1.25151449182777
2022-10-31,6.68497151247844,1.33342329700705,-4.61970467288474,-0.146201180974061
2022-11-30,7.7592281247379,1.06171832950451,-5.93874432740534,-1.70875253595089
2022-12-29,5.48650515660396,0.916544387775332,-4.27781081544312,-1.43657635161818
2023-01-31,5.45308628486247,0.450318872434664,-4.69639897382141,-2.33861256717771
2023-02-28,3.87887949103158,3.86929762824854,-5.413714648617,-0.158751174214959
2023-03-31,3.30064379624033,4.9932645530455,-3.80427903341617,0.46537944650345
2023-04-28,3.70203271808739,4.50704716126938,-3.22285349008481,0.0518818626974702
2023-05-31,3.35862199324425,6.54454508796435,-1.5083705575726,1.78658402424856
2023-06-30,3.55512839281171,9.12525623432445,-1.25393901740454,4.34154696698469
2023-07-31,6.8906728096637,5.89303252698773,-1.36162244439381,2.97637995727098
2023-08-31,7.73569198085395,5.04084378739114,-1.1814135114612,5.13763171861694
2023-09-29,9.59844183819856,2.34361758481777,-1.03652148612238,6.8630117638872
2023-10-31,9.13503544878882,2.64252926026219,-1.47029124615719,6.11986876658374
2023-11-30,8.30105890652188,2.12885492554997,-2.26386067642136,5.54783818733225
2023-12-28,5.28973015971233,0.185875349774623,-0.850166145148663,6.95688437982408
2024-01-31,4.33807965728108,-0.241792166940719,-0.667518265743576,7.47631902012069
2024-02-29,4.41403404551472,1.23876002424824,-1.71011244789797,4.99083191500932
2024-03-28,3.85228637185864,2.94621849641388,-2.85522908100926,6.54932698764281
2024-04-30,2.54540265616111,1.43453163679163,-2.50469496185639,7.16004349132273
2024-05-31,4.81607472236425,-0.829336868220754,-1.20569795009958,7.05041573563702
2024-06-28,3.60276682857797,-1.27988103892062,-1.07019755445026,7.05503274687427
2024-07-31,4.48158627039241,-1.83851094771013,2.09148189801528,8.63651560959475
2024-08-30,2.93579250603454,-1.67213223877411,1.58182500025076,8.70761002278242
2024-09-30,2.05313735835589,-1.9838924437046,1.0116605020337,8.78877277444819
2024-10-31,2.904987657117,-0.722708027022821,-0.436409919880107,7.69508621318037
2024-11-29,2.97122091434197,-0.797053863355112,-0.738174231311731,7.13625122190495
2024-12-30,1.51814328400083,1.22198144557042,-1.48580734156,5.97044375715935
2025-01-31,0.253863974382657,-2.5609474406102,-1.23127829664871,6.52111256701429
2025-02-28,0.468900831131225,-1.93256399523161,-1.40933287046738,6.01927306278249
2025-03-31,1.32080982580795,-2.47031063319475,-1.35390429508205,5.02729974930434
2025-04-30,1.86270434377495,-1.18266923224159,-0.320303262189711,5.13208153969253
2025-05-30,2.9473766593191,2.59544985396796,-0.786897698229738,10.6119838530971
2025-06-30,2.3579627354028,2.55399755554066,-0.131801634039898,10.0087862194277
2025-07-31,4.96657150601249,-0.141439914174859,-2.1776654103265,6.69686016586681
2025-08-29,5.15211089962652,1.91095123849665,-2.08164928266069,6.43590174932985
2025-09-30,5.64611414055014,3.65948572075064,-2.844266625978,6.99777734552708
2025-10-31,4.15861447696983,2.63153534949537,-1.4264078174326,7.10472530904936
2025-11-28,2.50805789514313,4.12986283613463,0.263898642186306,7.62732798201648
2025-12-30,1.81008965003186,4.22706251415077,0.298311438415395,7.73427080459964
2026-01-30,2.46596002393367,4.03741594696528,-0.465897950682466,6.68887580113206
2026-02-27,10.4429263039462,0.510279554256154,3.16958863906377,3.67620338806325
2026-03-31,9.13575157710317,0.622110030624159,3.55983425759868,4.25356233127028
2026-04-30,7.04670448685516,0.775148135826027,3.35500823158143,3.9109108540192
2026-05-29,6.50320449324808,2.40588493348873,2.85481698506935,3.46418770791329
