"Lags","AIC","BIC","HQ"
1,-12.0018,-11.8536,-11.9476
2,-12.1058,-11.8278,-12.0041
3,-12.1548,-11.747,-12.0056
4,-12.1718,-11.6343,-11.9751
5,-12.1706,-11.5034,-11.9265
6,-12.171,-11.374,-11.8793
