"p","TCI","Maior_transmissor","Maior_receptor"
1,48.53,"ITUB4","ABCB4"
2,47.61,"ITUB4","BRSR6"
3,45.84,"ITUB4","BRSR6"
4,44.1,"ITUB4","BRSR6"
