"banco","data","retorno","z_score"
"ITUB4",2020-03-12,-10.34,-5.73
"ITUB4",2020-03-13,10.49,5.76
"ITUB4",2020-03-16,-9.65,-5.35
"ITUB4",2020-03-24,9.21,5.05
"BBDC4",2020-03-12,-14.39,-6.7
"BBDC4",2020-03-13,15.59,7.24
"BBDC4",2020-03-16,-15.4,-7.17
"BBDC4",2020-03-18,-12.39,-5.77
"BBDC4",2020-03-24,14.02,6.52
"BBDC4",2022-11-09,-19.1,-8.89
"BBDC4",2024-02-07,-17.32,-8.07
"BBDC4",2025-05-08,14.53,6.75
"BBAS3",2020-03-09,-11.7,-5.23
"BBAS3",2020-03-12,-14.17,-6.33
"BBAS3",2020-03-13,15.5,6.9
"BBAS3",2020-03-16,-18.26,-8.16
"BBAS3",2020-03-18,-18.04,-8.06
"BBAS3",2020-03-24,15.81,7.03
"BBAS3",2020-03-25,11.33,5.04
"BBAS3",2020-04-24,-14.35,-6.41
"BBAS3",2020-04-28,12.6,5.6
"BBAS3",2021-02-22,-12.38,-5.53
"BBAS3",2025-05-16,-13.57,-6.06
"SANB11",2020-03-09,-10.44,-5.02
"SANB11",2020-03-12,-14.47,-6.96
"SANB11",2020-03-13,11.74,5.62
"SANB11",2020-03-16,-12.72,-6.12
"SANB11",2020-03-24,12.58,6.02
"SANB11",2020-04-28,10.85,5.19
"BPAC11",2019-08-23,-16.48,-6.09
"BPAC11",2019-08-26,-20.43,-7.54
"BPAC11",2019-08-27,16.02,5.83
"BPAC11",2020-03-09,-19.93,-7.35
"BPAC11",2020-03-11,-14.34,-5.31
"BPAC11",2020-03-12,-31.28,-11.52
"BPAC11",2020-03-13,24.6,8.97
"BPAC11",2020-03-16,-16.79,-6.2
"BPAC11",2020-03-23,-13.89,-5.14
"BPAC11",2020-03-24,22.17,8.08
"BRSR6",2017-10-04,-11.51,-5.38
"BRSR6",2018-10-08,11.06,5.15
"BRSR6",2020-03-09,-14.71,-6.87
"BRSR6",2020-03-10,13.98,6.51
"BRSR6",2020-03-12,-13.78,-6.44
"BRSR6",2020-03-16,-10.98,-5.13
"BRSR6",2020-03-18,-15.47,-7.23
"BRSR6",2026-04-14,-11.83,-5.53
"ABCB4",2020-03-09,-11.28,-5.87
"ABCB4",2020-03-12,-12.07,-6.28
"ABCB4",2020-03-16,-16.21,-8.43
"ABCB4",2020-03-18,-14.66,-7.63
"ABCB4",2020-03-25,15.77,8.16
