"Banco","Eigenvector_in","PageRank","Segmento_BCB","S1_BCB","Rank_rede_PageRank"
"ITUB4",1,0.1776,"S1",TRUE,1
"BBDC4",0.9917,0.1689,"S1",TRUE,2
"BBAS3",0.9163,0.156,"S1",TRUE,3
"SANB11",0.8752,0.1456,"S1",TRUE,4
"BPAC11",0.7884,0.1329,"S1",TRUE,5
"ABCB4",0.6687,0.1156,"S3",FALSE,6
"BRSR6",0.5869,0.1033,"S2",FALSE,7
