"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4"
2018-07-25,28.1668912419528,25.0802929557194,-15.0348513399165,-13.1684790059797,-7.89038221109185,-11.6748499707182,-5.47862166996586
2018-07-26,29.4458723598392,24.8894906977976,-15.0302368937541,-12.8530437167312,-8.26395115648347,-12.6132976435364,-5.57483364713173
2018-07-27,28.5324205040319,23.0283997187851,-14.1951882111429,-13.1878883802551,-8.10224180252576,-11.0866604270631,-4.98884140183012
2018-07-30,27.9634481374257,19.8941519849162,-14.0431028607573,-12.0642632385848,-6.45392252573832,-10.5469437579118,-4.74936773934967
2018-07-31,29.2176079099787,19.1376657815447,-13.4859614371071,-12.8494792987697,-6.33926950438628,-11.8845682191541,-3.79599523210612
2018-08-01,26.7338981276153,19.3444027247457,-13.1910816165511,-12.6289200949425,-5.97795393503543,-10.8096923700935,-3.47065283573844
2018-08-02,26.1450533613673,18.3023393459449,-11.5606378973577,-14.7384251259514,-5.76806669266414,-9.68540839995409,-2.69485459138501
2018-08-03,27.3214616484689,17.9778600561448,-11.9560903865329,-13.3649614892812,-5.88442123234852,-10.4258211827625,-3.66802741368873
2018-08-06,27.1088337832596,16.9404237772825,-13.8191573758872,-10.6099558832841,-5.62728240901429,-9.83748096737111,-4.15538092498528
2018-08-07,26.2925127373695,17.0745726182113,-13.2154109334276,-10.7673000042882,-5.95673508478755,-9.06935786950938,-4.35828146356817
2018-08-08,27.0376061797192,17.110107554851,-13.2451385069333,-10.7893378980415,-6.26348761898142,-9.32196787531575,-4.52778183529827
2018-08-09,26.5267610107799,17.3809094044138,-14.1649272866473,-10.1072144023116,-6.13059238413317,-8.63080693284002,-4.87412940926161
2018-08-10,26.2336675613194,17.472487112261,-12.4280723548973,-10.6900039743237,-6.84517910398514,-9.27859971714617,-4.46429952322814
2018-08-13,25.2108742029918,17.6227297134068,-12.4894884892955,-9.62174649412196,-7.82232227227684,-8.62066884606545,-4.27937781463882
2018-08-14,26.7119625677455,17.590037547751,-11.36147286606,-10.463880202036,-8.26118708824092,-9.36304875499353,-4.85241120416612
2018-08-15,26.5517413840427,17.2634942095167,-11.310683216914,-9.96947379636846,-8.23605594779822,-9.19371978479059,-5.1053028476881
2018-08-16,26.4128400052615,17.320928823569,-11.5415081509879,-9.12810714208391,-8.85795697431295,-8.94880872599044,-5.2573878354553
2018-08-17,26.2021925602865,16.9410853773147,-11.5327711826285,-8.48503204078764,-8.75140894721222,-9.71746740614369,-4.65659836082916
2018-08-20,25.8657547785578,17.2056909845837,-12.0377654148364,-7.90079885149788,-8.76891768631299,-9.55670130031157,-4.80726251018268
2018-08-21,26.3952136632955,17.6362386697774,-11.2579087080724,-7.57884420077714,-10.2958531741581,-10.0703856510519,-4.82846059901328
2018-08-22,26.3497297364316,18.1576709497718,-11.5688910192123,-7.54166788596935,-10.3988928316182,-10.2479254868446,-4.75002346255886
2018-08-23,25.213331535883,15.9775340905201,-11.793681222517,-4.54870671551602,-11.3675207613738,-10.8794797933231,-2.60147713367315
2018-08-24,27.1180907127967,19.0358210688859,-12.0393303703839,-8.95763336996034,-11.042573972379,-9.68584593970324,-4.42852812925621
2018-08-27,24.8158415470891,17.2008169608832,-11.9214454547579,-7.35561716028199,-9.0733400355872,-9.77367134434903,-3.89258451299622
2018-08-28,22.237796374812,17.1333400798177,-11.8304881446238,-7.17015681653681,-8.80920190909598,-7.82819860414432,-3.73309098022885
2018-08-29,21.3192698153915,17.3800442125085,-11.4670856385244,-6.74922465362354,-9.13210290459694,-7.90430821995652,-3.44659261119859
2018-08-30,21.4209040532226,18.5385842523264,-11.6779135218753,-8.39857884422462,-8.99545606451749,-7.51224073531402,-3.3752991396176
2018-08-31,22.0442660823409,18.2528322801518,-11.951483459098,-8.83317328751615,-8.92017680983819,-7.1911519217676,-3.40111288427273
2018-09-03,22.4984692699657,18.8300107460849,-12.5122840195797,-8.86981409618751,-9.0181720321369,-7.40419709467882,-3.5240127734676
2018-09-04,20.9852653035155,18.7415055100718,-11.9255361558052,-8.61321782747952,-8.76957603993315,-6.99791820127067,-3.42052258909881
2018-09-05,20.7310060387279,18.6362683995661,-12.1693807931716,-8.57485644965718,-9.15837160138204,-6.50120118787348,-2.96346440620971
2018-09-06,21.6378593168787,18.4681094732158,-11.3422363511884,-8.70190904227488,-9.37823213437611,-7.20801199342741,-3.47557926882769
2018-09-10,21.7637342603167,18.6482950202125,-10.8262560361301,-9.01921459429166,-9.13613924883939,-7.28364762691076,-4.14677177435729
2018-09-11,21.5212524812899,18.2630399472837,-10.5812219743567,-8.99614734456571,-8.03095854092789,-8.04624873245493,-4.12971583626837
2018-09-12,21.0798540109643,18.1685948819357,-10.9918215179686,-9.97394410524917,-8.42855434385689,-6.8331997010103,-3.02092922481507
2018-09-13,20.8417034918586,18.6120742314105,-11.2514649005058,-9.23167103584657,-9.39465407603707,-6.51940241073536,-3.05658530014434
2018-09-14,21.6808564857312,18.5604727811469,-11.3683534198795,-9.21833531120581,-9.78955217800118,-6.66601628490793,-3.19907207288366
2018-09-17,21.0620015935149,17.9890021052099,-7.84830981165796,-9.72998934324416,-10.2785810592948,-6.81571096210184,-4.37841252242603
