"Subamostra","Periodo","TCI","Maior_transmissor","Maior_receptor"
"Primeira metade","2017-10-03 a 2022-02-07",53.76,"ITUB4","BRSR6"
"Segunda metade","2022-02-08 a 2026-05-29",34.3,"ITUB4","ABCB4"
