"Indicadora","Coeficiente","Erro_padrao","t","p"
"Bradesco e Itaú (privados nacionais)",7.668,0.935,8.2,0
"Banco do Brasil e Banrisul (estatais)",1.127,0.785,1.44,0.1633
"ABC Brasil e Santander (""estrangeiros"")",-1.725,1.264,-1.36,0.1846
"Ambos de grande porte",3.063,1.158,2.65,0.0139
