"data","ITUB4","BBDC4","BBAS3","SANB11","BPAC11","BRSR6","ABCB4"
2017-10-03,-1.42585278552203,-0.785124977837307,-2.87322648359639,-1.58446489502729,-1.02124343385141,-1.29786992691608,-1.14229900721752
2017-10-04,-2.24142510063982,-1.9365609229658,-1.61282061706771,-1.18547248142471,-0.684217741124553,0.754236405504531,-1.28468177446391
2017-10-05,-1.20162033090261,-1.3191646720794,-0.954664723371184,-0.969704392711734,-1.21480321008297,-0.780646023994376,-1.04956745518731
2017-10-06,-1.59933145788689,-1.88775449432975,-1.31416250218067,-1.19736132716782,-0.823125475313373,-0.843431750836777,-0.964399859982846
2017-10-09,-2.04149795668666,-1.55346874490683,-1.15496013081884,-1.16690858153734,-0.682110258727202,-0.758532900722916,-1.02924500566424
2017-10-10,-1.5381296081527,-1.3698968917417,-1.61042044289698,-2.02748561721152,-1.70023840493069,-2.75139747097186,-1.46425838858246
2017-10-11,-1.98378000445415,-1.51986796190744,-1.9044296985875,-1.00968770203196,-1.33853600135596,-1.25476354860058,-2.20434091821035
2017-10-13,-1.34711570861399,-1.35418432247084,-2.06241767030577,-0.603504170502345,-1.20511706462669,-1.32405309281581,-1.66080917523311
2017-10-16,-1.63717818546624,-1.63388274365922,-2.01240610624214,-0.690476421390304,-0.972799306590121,-0.858720927574214,-1.50767085298004
2017-10-17,-2.12323447205757,-1.73549558169922,-1.73229409177992,-1.02602405318347,-1.23212062830721,-0.982055192960258,-1.35783171295021
2017-10-18,-1.85640149451219,-1.47498216599257,-1.88560742652637,-1.38598635886088,-1.09973926977467,-1.41531011307112,-2.04092778474114
2017-10-19,-1.58041737645527,-1.41101513548397,-1.41862799825983,-1.40422999359297,-0.798184703155668,-1.1867604714387,-1.76892306842878
2017-10-20,-2.02320096042163,-1.9584518621671,-2.39885921878567,-1.76768634678898,-1.37967914213134,-0.90900169984614,-2.79661016130216
2017-10-23,-1.68739077350763,-1.4838075482201,-2.27399717880056,-0.968936246187913,-0.300971764279824,-0.901319774379978,-1.74746992472555
2017-10-24,-1.55204951828469,-1.53513986400119,-1.36123712492455,-1.81789521284986,-0.832930422976332,-1.02311081080522,-1.59909384505872
2017-10-25,-1.19688366342746,-1.16598640346796,-1.64077412388087,-0.917222307384132,-0.598547604349273,-1.63460224330457,-1.19373909521414
2017-10-26,-1.5598192435491,-1.26916661165049,-1.17428857539034,-0.388351461128228,-1.33494103051641,-1.50150075660955,-1.29316095486547
2017-10-27,-1.47588255184118,-1.63361357678159,-1.64497582156145,-1.32468955761072,-1.37562641876095,-1.04581790636931,-0.459093901755161
2017-10-30,-1.34493109700088,-1.44307940979512,-1.21224276830614,-1.44341470170167,-1.72085752498224,-1.67846288659371,-1.14357340252998
2017-10-31,-1.25045123327389,-1.13312672456152,-1.17723569178386,-1.5360082887023,-0.777621211396119,-0.973386741055373,-1.14720844874075
2017-11-01,-1.63637589306871,-1.43423684804305,-1.3002802140703,-0.71653614005069,-3.83265575729476,-0.842791085051737,-1.08502108428156
2017-11-03,-1.81068899061335,-1.75597343189431,-1.04451405828148,-0.616471937583617,-0.703696765316545,-1.19674814391924,-0.675132446730296
2017-11-06,-1.98566747862318,-1.76903140898714,-1.35889092053595,-0.792086445969245,-0.937546657376132,-2.7614008997805,-1.10109205062368
2017-11-07,-1.64802780684029,-1.39592709039635,-1.30003993682671,-0.667696108988722,-0.831160608093969,-0.649174202176899,-0.740859101160315
2017-11-08,-2.09108357165613,-1.07814581770913,-0.838041763147537,-1.29377522862658,-1.59008446963398,-1.06531016914521,-0.80744047614757
2017-11-09,-1.72591389243543,-2.11105046170202,-1.57238237823074,-0.943439856128547,-0.713922189094175,-1.0094835238342,-1.6271829851337
2017-11-10,-1.50088602895428,-1.1043649781693,-1.06858163416836,-1.13178949624456,-0.0218925247925872,-2.45968469817304,-1.7149432554092
2017-11-13,-1.4690740670736,-1.54687094101388,-1.08127690671396,-1.24297266910658,-1.2579556655002,-0.925926419409414,-0.806293956540191
2017-11-14,-1.97528147992814,-1.42766331623565,-1.04018431280547,-0.908481758845181,-0.140851678210162,-0.640063139001103,-1.48990913592345
2017-11-16,-1.55168873725591,-1.09837983942707,-1.30205046443297,-1.21913274127862,-0.659183951100439,-1.05102620684653,-1.24864814377453
2017-11-17,-1.5587137678982,-1.49661508659222,-1.29152214876393,-1.46673343465134,-1.78233218028364,-1.71471706539628,-1.62583303103128
2017-11-21,-1.27373467904651,-1.18748614086774,-1.25360863786774,-1.60978478379623,-0.366623468319807,-1.19377749626801,-2.44325009921096
2017-11-22,-1.64625699848993,-1.36686204909159,-1.33549960876269,-1.31831592319589,-0.795178769599963,-1.0762219380654,-1.52523188000141
2017-11-23,-1.67173296317099,-1.67756133979534,-1.10257811946678,-1.3268746490583,-0.920728014017682,-1.72524396369442,-0.948098002808636
2017-11-24,-1.60543895570129,-2.30310052417863,-1.74503269936602,-2.15788340951143,-0.9133572944648,-1.13628547800546,-1.54716629663058
2017-11-27,-1.70883012532771,-1.37787166815344,-1.37876073663181,-1.65429529275395,-0.718537205674787,-0.934727989347172,-1.22270409841654
2017-11-28,-1.5096737985121,-1.25125911545311,-1.11268092902167,-1.26615629316596,-0.709984513500903,-1.42621291369304,-1.40871875529281
2017-11-29,-1.91585749428602,-1.25080851955895,-1.28436946310716,-1.26772462654619,-0.634048995054136,-0.617074716902912,-1.39338968286393
2017-11-30,-1.50809227191608,-1.27219058389585,-3.48686578520162,-1.53535022048234,-0.687685729229574,-0.683906363884501,-0.472705764147872
