"","Media","DP","Min","Mediana","Max","Assimetria","Curtose"
"ITUB4",-1.4314,0.4641,-3.1822,-1.4403,1.0315,0.3728,1.7558
"BBDC4",-1.3334,0.454,-2.9264,-1.3609,1.278,0.5846,2.2521
"BBAS3",-1.381,0.5463,-10.5746,-1.381,1.369,-1.7864,38.2161
"SANB11",-1.3589,0.5233,-11.3721,-1.3735,1.2338,-3.1169,63.0712
"BPAC11",-1.083,0.5109,-4.9013,-1.0985,1.6434,0.0016,3.8521
"BRSR6",-1.3359,0.5905,-11.006,-1.3274,0.8563,-5.6722,89.464
"ABCB4",-1.3928,0.6556,-11.9905,-1.3658,1.0486,-5.2427,75.0538
