"Banco","ADF_tau","ADF_cv5pct","ADF_rejeita_H0","KPSS_pval","KPSS_nao_rejeita","DFGLS_stat","DFGLS_cv5pct","DFGLS_rejeita_H0","PP_stat","PP_cv5pct","PP_rejeita_H0","ZA_stat","ZA_cv5pct","ZA_rejeita_H0","LjungBox_p","ARCH_LM_p","GPH_d","GPH_SE_asint"
"ITUB4",-17.222,-2.86,TRUE,0.01,FALSE,-9.725,-1.94,TRUE,-30.734,-2.863,TRUE,-12.485,-5.08,TRUE,0,0,0.503,0.108
"BBDC4",-18.661,-2.86,TRUE,0.01,FALSE,-5.783,-1.94,TRUE,-32.369,-2.863,TRUE,-12.97,-5.08,TRUE,0,0,0.572,0.108
"BBAS3",-19.02,-2.86,TRUE,0.01,FALSE,-2.747,-1.94,TRUE,-32.495,-2.863,TRUE,-12.9,-5.08,TRUE,0,0,0.645,0.108
"SANB11",-21.241,-2.86,TRUE,0.01,FALSE,-9.942,-1.94,TRUE,-35.577,-2.863,TRUE,-14.233,-5.08,TRUE,0,0,0.457,0.108
"BPAC11",-18.863,-2.86,TRUE,0.01,FALSE,-10.285,-1.94,TRUE,-33.508,-2.863,TRUE,-12.952,-5.08,TRUE,0,0,0.451,0.108
"BRSR6",-25.348,-2.86,TRUE,0.01,FALSE,-13.505,-1.94,TRUE,-40.061,-2.863,TRUE,-15.697,-5.08,TRUE,0,0.4771,0.633,0.108
"ABCB4",-23.406,-2.86,TRUE,0.01,FALSE,-11.038,-1.94,TRUE,-38.106,-2.863,TRUE,-16.361,-5.08,TRUE,0,0.2591,0.551,0.108
