"Indicadora","Media","Pct_positivo","t","p"
"Bradesco e Itaú (privados nacionais)",7.411,"104/104",20.4,0
"Banco do Brasil e Banrisul (estatais)",1.496,"79/104",7.23,0
"ABC Brasil e Santander (""estrangeiros"")",-1.426,"23/104",-6.58,0
"Ambos de grande porte",2.893,"89/104",9.85,0
